Date,Price,Open,High,Low,Vol.,Change %
09/24/23,"26,251.50","26,579.00","26,727.60","26,162.20",22.32K,-1.23%
09/23/23,"26,579.20","26,581.70","26,636.20","26,517.50",12.92K,-0.01%
09/22/23,"26,581.90","26,569.50","26,736.40","26,488.50",28.79K,0.04%
09/21/23,"26,570.00","27,125.20","27,155.60","26,382.30",47.81K,-2.05%
09/20/23,"27,125.00","27,209.20","27,378.60","26,851.80",47.23K,-0.31%
09/19/23,"27,209.20","26,759.00","27,480.70","26,672.20",52.17K,1.67%
09/18/23,"26,763.50","26,530.30","27,413.30","26,405.20",63.35K,0.88%
09/17/23,"26,529.10","26,562.00","26,614.40","26,408.70",16.57K,-0.12%
09/16/23,"26,562.00","26,599.90","26,769.00","26,463.50",18.45K,-0.15%
09/15/23,"26,601.00","26,523.30","26,837.40","26,233.10",36.47K,0.29%
09/14/23,"26,524.70","26,223.00","26,760.30","26,148.60",53.82K,1.15%
09/13/23,"26,223.00","25,836.10","26,382.30","25,766.90",42.58K,1.50%
09/12/23,"25,834.50","25,166.40","26,472.60","25,133.50",78.71K,2.65%
09/11/23,"25,166.40","25,840.20","25,897.40","24,923.10",56.32K,-2.61%
09/10/23,"25,840.20","25,901.10","25,995.10","25,626.70",23.60K,-0.24%
09/09/23,"25,901.10","25,909.50","25,938.50","25,814.30",13.48K,-0.03%
09/08/23,"25,909.50","26,248.50","26,415.40","25,701.60",41.01K,-1.30%
09/07/23,"26,249.80","25,758.00","26,417.70","25,626.50",39.77K,1.91%
09/06/23,"25,758.00","25,790.10","26,018.40","25,411.70",37.78K,-0.13%
09/05/23,"25,790.20","25,824.40","25,864.00","25,596.30",28.40K,-0.13%
09/04/23,"25,823.30","25,971.00","26,094.20","25,660.90",27.13K,-0.57%
09/03/23,"25,971.00","25,869.70","26,090.40","25,816.60",21.36K,0.39%
09/02/23,"25,869.70","25,803.50","25,977.40","25,752.70",21.24K,0.26%
09/01/23,"25,803.20","25,938.30","26,144.90","25,361.90",58.08K,-0.52%
08/31/23,"25,937.30","27,300.60","27,464.50","25,731.00",69.11K,-4.99%
08/30/23,"27,298.80","27,723.90","27,757.30","27,043.20",46.54K,-1.53%
08/29/23,"27,723.90","26,118.10","28,046.00","25,919.80",98.32K,6.14%
08/28/23,"26,118.90","26,100.60","26,215.70","25,891.00",28.84K,0.07%
08/27/23,"26,100.60","26,017.10","26,176.80","25,968.70",14.29K,0.32%
08/26/23,"26,017.10","26,057.20","26,114.10","25,993.50",12.09K,-0.15%
08/25/23,"26,057.20","26,176.10","26,265.70","25,811.60",39.96K,-0.46%
08/24/23,"26,177.00","26,436.20","26,560.50","25,943.60",41.04K,-0.98%
08/23/23,"26,436.20","26,042.00","26,807.70","25,812.60",60.96K,1.52%
08/22/23,"26,039.90","26,126.80","26,138.80","25,481.90",47.72K,-0.33%
08/21/23,"26,126.00","26,190.80","26,220.90","25,850.80",41.10K,-0.25%
08/20/23,"26,190.80","26,099.50","26,269.10","25,998.50",24.00K,0.35%
08/19/23,"26,099.40","26,053.30","26,262.20","25,799.50",33.04K,0.18%
08/18/23,"26,053.20","26,635.70","26,801.90","25,691.00",93.05K,-2.19%
08/17/23,"26,635.70","28,726.10","28,771.80","25,489.40",132.92K,-7.28%
08/16/23,"28,726.30","29,195.30","29,251.10","28,717.60",43.71K,-1.61%
08/15/23,"29,195.30","29,426.70","29,472.00","29,118.60",33.81K,-0.79%
08/14/23,"29,426.70","29,300.10","29,689.00","29,116.00",39.30K,0.43%
08/13/23,"29,300.10","29,428.20","29,468.50","29,272.30",13.49K,-0.44%
08/12/23,"29,428.20","29,420.80","29,480.80","29,375.40",11.07K,0.02%
08/11/23,"29,420.80","29,448.90","29,544.90","29,271.20",27.71K,-0.10%
08/10/23,"29,449.00","29,578.00","29,719.40","29,377.50",32.00K,-0.44%
08/09/23,"29,578.00","29,771.30","30,104.00","29,384.20",49.67K,-0.67%
08/08/23,"29,777.40","29,204.20","30,168.60","29,137.70",62.57K,1.96%
08/07/23,"29,204.20","29,081.30","29,270.20","28,721.00",41.19K,0.42%
08/06/23,"29,081.30","29,067.90","29,198.90","28,987.40",16.03K,0.05%
08/05/23,"29,068.10","29,105.60","29,139.30","28,983.00",14.55K,-0.13%
08/04/23,"29,105.50","29,189.10","29,319.10","28,875.80",31.43K,-0.29%
08/03/23,"29,189.30","29,180.90","29,409.80","28,981.00",36.08K,0.05%
08/02/23,"29,173.70","29,711.80","30,025.90","28,961.60",67.41K,-1.81%
08/01/23,"29,712.20","29,232.30","29,712.20","28,611.00",64.01K,1.64%
07/31/23,"29,232.40","29,282.00","29,502.30","29,128.30",31.84K,-0.17%
07/30/23,"29,281.70","29,354.20","29,446.60","29,054.50",20.58K,-0.24%
07/29/23,"29,353.50","29,315.00","29,400.10","29,256.90",13.90K,0.13%
07/28/23,"29,315.00","29,222.70","29,533.00","29,125.10",31.42K,0.32%
07/27/23,"29,222.70","29,352.90","29,568.80","29,094.00",30.42K,-0.44%
07/26/23,"29,352.20","29,228.80","29,681.80","29,109.70",44.33K,0.42%
07/25/23,"29,228.60","29,178.30","29,365.40","29,058.70",29.05K,0.17%
07/24/23,"29,178.10","30,085.90","30,098.20","28,890.70",55.73K,-3.02%
07/23/23,"30,085.90","29,788.90","30,337.00","29,735.70",23.32K,1.00%
07/22/23,"29,788.90","29,904.50","29,988.00","29,657.30",18.47K,-0.38%
07/21/23,"29,903.10","29,801.00","30,058.90","29,739.90",32.59K,0.34%
07/20/23,"29,801.00","29,909.70","30,408.00","29,621.40",50.33K,-0.36%
07/19/23,"29,909.70","29,866.70","30,185.50","29,789.30",34.96K,0.14%
07/18/23,"29,866.80","30,139.70","30,242.40","29,624.60",42.40K,-0.91%
07/17/23,"30,139.70","30,235.50","30,335.90","29,693.30",42.84K,-0.32%
07/16/23,"30,235.50","30,291.80","30,435.00","30,075.40",20.31K,-0.18%
07/15/23,"30,291.40","30,316.80","30,395.40","30,246.90",17.06K,-0.09%
07/14/23,"30,317.40","31,465.40","31,602.60","29,944.30",82.42K,-3.65%
07/13/23,"31,466.10","30,387.30","31,764.50","30,260.00",99.81K,3.55%
07/12/23,"30,387.30","30,623.30","30,951.30","30,231.70",54.06K,-0.77%
07/11/23,"30,623.30","30,414.20","30,782.20","30,333.80",39.84K,0.68%
07/10/23,"30,415.30","30,166.90","31,019.60","29,969.10",55.24K,0.82%
07/09/23,"30,166.90","30,288.80","30,425.50","30,071.90",20.05K,-0.40%
07/08/23,"30,288.80","30,346.80","30,379.90","30,055.90",17.41K,-0.19%
07/07/23,"30,346.40","29,912.70","30,442.00","29,757.40",46.42K,1.45%
07/06/23,"29,913.10","30,512.80","31,463.60","29,869.00",90.81K,-1.97%
07/05/23,"30,512.80","30,768.60","30,875.60","30,233.30",43.23K,-0.83%
07/04/23,"30,768.40","31,152.00","31,326.50","30,657.80",42.12K,-1.23%
07/03/23,"31,151.30","30,617.50","31,377.00","30,581.50",56.49K,1.74%
07/02/23,"30,617.70","30,587.10","30,769.00","30,227.90",28.82K,0.10%
07/01/23,"30,586.80","30,472.90","30,649.90","30,329.00",22.46K,0.37%
06/30/23,"30,472.90","30,445.70","31,275.50","29,714.50",118.65K,0.09%
06/29/23,"30,445.70","30,077.30","30,823.10","30,051.30",49.57K,1.22%
06/28/23,"30,078.60","30,691.90","30,703.40","29,919.50",51.06K,-1.99%
06/27/23,"30,689.10","30,267.00","30,993.70","30,231.30",55.82K,1.39%
06/26/23,"30,267.00","30,466.30","30,645.90","29,986.30",58.71K,-0.65%
06/25/23,"30,465.30","30,533.60","31,040.20","30,315.80",37.12K,-0.22%
06/24/23,"30,533.60","30,680.70","30,795.30","30,269.40",38.15K,-0.48%
06/23/23,"30,679.40","29,890.20","31,395.40","29,822.60",98.85K,2.64%
06/22/23,"29,890.50","29,992.80","30,497.80","29,590.40",79.22K,-0.35%
06/21/23,"29,996.90","28,307.70","30,769.50","28,270.50",143.49K,5.97%
06/20/23,"28,307.70","26,845.90","28,393.00","26,665.50",100.55K,5.44%
06/19/23,"26,845.90","26,339.70","27,029.70","26,295.10",46.45K,1.92%
06/18/23,"26,339.70","26,515.00","26,679.30","26,290.60",27.31K,-0.66%
06/17/23,"26,515.00","26,341.30","26,767.30","26,183.50",35.86K,0.66%
06/16/23,"26,341.30","25,591.90","26,472.80","25,276.00",69.24K,2.93%
06/15/23,"25,591.30","25,129.50","25,732.80","24,838.00",68.38K,1.84%
06/14/23,"25,129.50","25,929.00","26,051.70","24,847.40",60.82K,-3.08%
06/13/23,"25,929.40","25,906.90","26,428.90","25,726.40",56.24K,0.09%
06/12/23,"25,906.80","25,927.90","26,080.70","25,635.00",40.75K,-0.08%
06/11/23,"25,928.40","25,843.30","26,190.10","25,660.80",39.20K,0.33%
06/10/23,"25,844.00","26,479.30","26,525.10","25,468.30",83.57K,-2.40%
06/09/23,"26,479.30","26,501.10","26,773.90","26,326.70",38.96K,-0.08%
06/08/23,"26,501.10","26,341.80","26,784.40","26,231.30",39.95K,0.60%
06/07/23,"26,342.50","27,230.20","27,342.00","26,141.00",77.48K,-3.26%
06/06/23,"27,230.20","25,745.60","27,325.20","25,425.60",88.61K,5.76%
06/05/23,"25,747.40","27,122.30","27,125.50","25,437.50",85.42K,-5.07%
06/04/23,"27,122.30","27,070.90","27,410.20","26,956.10",23.81K,0.19%
06/03/23,"27,072.00","27,246.00","27,317.50","26,931.40",20.62K,-0.63%
06/02/23,"27,244.70","26,819.00","27,299.40","26,541.30",49.37K,1.59%
06/01/23,"26,819.00","27,216.40","27,340.90","26,662.30",51.98K,-1.46%
05/31/23,"27,216.10","27,696.90","27,825.00","26,865.10",63.08K,-1.74%
05/30/23,"27,698.20","27,738.90","28,033.60","27,583.80",45.19K,-0.15%
05/29/23,"27,739.40","28,068.40","28,431.20","27,548.80",54.56K,-1.18%
05/28/23,"28,071.20","26,855.30","28,181.90","26,788.50",55.23K,4.52%
05/27/23,"26,857.50","26,711.20","26,882.90","26,591.20",18.68K,0.55%
05/26/23,"26,711.50","26,475.50","26,911.60","26,330.00",45.88K,0.89%
05/25/23,"26,475.80","26,327.10","26,589.20","25,892.50",50.17K,0.56%
05/24/23,"26,328.40","27,220.70","27,220.70","26,088.70",72.65K,-3.28%
05/23/23,"27,220.70","26,851.60","27,448.10","26,804.10",50.89K,1.39%
05/22/23,"26,847.30","26,749.90","27,048.90","26,546.10",35.56K,0.36%
05/21/23,"26,749.90","27,116.20","27,257.10","26,677.60",27.42K,-1.35%
05/20/23,"27,116.20","26,883.00","27,147.20","26,831.30",17.72K,0.87%
05/19/23,"26,882.90","26,828.20","27,154.70","26,711.30",36.67K,0.20%
05/18/23,"26,828.00","27,403.80","27,467.00","26,449.80",63.39K,-2.10%
05/17/23,"27,403.10","27,035.50","27,465.30","26,597.70",58.14K,1.36%
05/16/23,"27,035.30","27,183.90","27,295.30","26,881.90",45.29K,-0.55%
05/15/23,"27,183.90","26,920.40","27,651.70","26,752.10",53.27K,0.98%
05/14/23,"26,920.00","26,777.40","27,176.10","26,609.90",26.35K,0.53%
05/13/23,"26,777.50","26,798.70","27,011.90","26,695.60",27.95K,-0.08%
05/12/23,"26,799.20","26,983.10","27,044.00","25,853.10",87.49K,-0.68%
05/11/23,"26,983.50","27,604.30","27,607.40","26,766.20",62.85K,-2.25%
05/10/23,"27,603.30","27,634.30","28,311.70","26,885.70",91.45K,-0.11%
05/09/23,"27,634.90","27,670.50","27,816.00","27,366.30",49.75K,-0.13%
05/08/23,"27,670.50","28,424.80","28,627.80","27,280.30",85.72K,-2.65%
05/07/23,"28,424.80","28,857.10","29,122.00","28,419.60",36.50K,-1.50%
05/06/23,"28,857.10","29,512.80","29,816.40","28,414.90",58.94K,-2.22%
05/05/23,"29,513.20","28,842.20","29,653.90","28,825.30",74.52K,2.33%
05/04/23,"28,842.10","29,023.60","29,352.70","28,687.40",53.80K,-0.63%
05/03/23,"29,023.60","28,669.10","29,244.70","28,164.40",81.22K,1.24%
05/02/23,"28,669.10","28,079.00","28,877.40","27,913.20",65.33K,2.11%
05/01/23,"28,077.60","29,252.10","29,329.60","27,685.90",84.36K,-4.02%
04/30/23,"29,252.10","29,235.10","29,941.30","29,095.00",47.62K,0.06%
04/29/23,"29,234.10","29,318.40","29,425.50","29,058.50",25.72K,-0.30%
04/28/23,"29,321.80","29,475.90","29,587.20","28,927.80",69.88K,-0.52%
04/27/23,"29,475.90","28,424.50","29,859.80","28,392.40",121.63K,3.70%
04/26/23,"28,424.60","28,298.80","29,995.70","27,307.80",164.31K,0.44%
04/25/23,"28,298.80","27,510.10","28,375.60","27,201.10",65.31K,2.87%
04/24/23,"27,509.30","27,591.40","27,978.80","27,054.30",66.74K,-0.30%
04/23/23,"27,591.40","27,813.80","27,815.00","27,388.50",41.77K,-0.80%
04/22/23,"27,813.90","27,264.80","27,872.00","27,165.70",44.30K,2.01%
04/21/23,"27,264.80","28,240.50","28,353.40","27,171.10",98.72K,-3.46%
04/20/23,"28,240.50","28,813.70","29,082.10","28,032.40",95.45K,-1.99%
04/19/23,"28,813.70","30,382.20","30,408.40","28,641.10",111.27K,-5.16%
04/18/23,"30,382.20","29,434.10","30,470.10","29,149.20",76.58K,3.22%
04/17/23,"29,434.90","30,310.80","30,312.20","29,274.00",71.90K,-2.89%
04/16/23,"30,310.30","30,299.20","30,545.30","30,134.60",34.48K,0.04%
04/15/23,"30,299.60","30,472.60","30,586.50","30,208.80",31.71K,-0.57%
04/14/23,"30,472.50","30,387.40","30,964.90","30,026.00",98.38K,0.28%
04/13/23,"30,387.40","29,892.40","30,524.10","29,864.50",65.87K,1.68%
04/12/23,"29,886.40","30,209.80","30,473.00","29,679.50",78.69K,-1.07%
04/11/23,"30,209.60","29,641.00","30,484.60","29,597.80",89.38K,1.92%
04/10/23,"29,641.00","28,326.50","29,755.40","28,182.90",85.73K,4.64%
04/09/23,"28,326.60","27,941.20","28,522.70","27,809.20",39.35K,1.38%
04/08/23,"27,941.20","27,910.40","28,153.10","27,863.80",23.73K,0.11%
04/07/23,"27,910.40","28,037.60","28,102.50","27,779.40",30.94K,-0.45%
04/06/23,"28,036.70","28,173.50","28,173.50","27,734.50",51.29K,-0.49%
04/05/23,"28,173.50","28,164.40","28,744.40","27,823.50",77.32K,0.03%
04/04/23,"28,164.40","27,802.20","28,429.10","27,668.90",64.06K,1.30%
04/03/23,"27,802.10","28,194.70","28,458.40","27,256.90",98.00K,-1.41%
04/02/23,"28,198.30","28,456.10","28,522.80","27,871.70",45.04K,-0.91%
04/01/23,"28,456.10","28,473.70","28,795.10","28,285.60",38.09K,-0.06%
03/31/23,"28,473.70","28,029.30","28,646.30","27,587.50",98.44K,1.58%
03/30/23,"28,029.50","28,350.30","29,160.40","27,716.70",122.51K,-1.13%
03/29/23,"28,350.40","27,262.90","28,627.40","27,249.80",109.32K,3.99%
03/28/23,"27,262.20","27,127.80","27,465.00","26,665.60",94.16K,0.49%
03/27/23,"27,129.80","27,974.80","28,023.30","26,611.50",107.24K,-3.02%
03/26/23,"27,973.50","27,474.90","28,153.70","27,429.10",60.64K,1.81%
03/25/23,"27,475.60","27,462.20","27,761.90","27,176.70",61.36K,0.05%
03/24/23,"27,462.20","28,306.90","28,374.50","27,026.50",110.36K,-3.00%
03/23/23,"28,310.70","27,262.80","28,734.10","27,144.60",158.46K,3.85%
03/22/23,"27,261.70","28,114.20","28,760.30","26,668.70",262.03K,-3.03%
03/21/23,"28,114.00","27,719.80","28,437.80","27,350.60",438.78K,1.42%
03/20/23,"27,720.50","27,958.90","28,457.80","27,157.00",503.90K,-0.85%
03/19/23,"27,958.70","26,914.50","28,347.30","26,844.60",393.27K,3.88%
03/18/23,"26,914.50","27,391.90","27,659.10","26,688.70",392.47K,-1.74%
03/17/23,"27,391.80","25,004.40","27,742.20","24,900.10",674.96K,9.55%
03/16/23,"25,004.10","24,283.20","25,139.00","24,147.90",462.58K,2.97%
03/15/23,"24,282.70","24,699.60","25,108.90","23,932.40",614.31K,-1.69%
03/14/23,"24,699.70","24,121.50","26,365.90","23,994.60",753.06K,2.43%
03/13/23,"24,114.40","21,994.80","24,406.20","21,859.60",733.63K,9.64%
03/12/23,"21,994.80","20,465.00","22,028.60","20,294.20",455.69K,7.46%
03/11/23,"20,467.50","20,156.50","20,669.50","19,796.70",453.46K,1.54%
03/10/23,"20,156.70","20,362.00","20,362.60","19,591.80",655.27K,-1.01%
03/09/23,"20,361.80","21,710.80","21,826.50","20,079.60",468.76K,-6.21%
03/08/23,"21,710.80","22,197.80","22,274.30","21,661.30",316.51K,-2.19%
03/07/23,"22,197.80","22,410.10","22,535.10","21,968.60",304.75K,-0.95%
03/06/23,"22,410.00","22,428.20","22,595.40","22,320.10",215.31K,-0.08%
03/05/23,"22,428.30","22,347.10","22,636.70","22,213.50",160.57K,0.36%
03/04/23,"22,347.10","22,354.70","22,403.70","22,167.40",123.93K,-0.03%
03/03/23,"22,354.40","23,465.60","23,473.40","22,051.90",344.63K,-4.73%
03/02/23,"23,465.40","23,642.20","23,780.50","23,208.70",249.26K,-0.75%
03/01/23,"23,642.20","23,130.60","23,914.10","23,025.30",328.77K,2.21%
02/28/23,"23,130.50","23,494.00","23,595.00","23,033.80",275.10K,-1.55%
02/27/23,"23,494.10","23,558.70","23,876.20","23,166.80",297.65K,-0.27%
02/26/23,"23,558.70","23,166.10","23,671.80","23,066.00",209.12K,1.69%
02/25/23,"23,166.10","23,191.30","23,215.30","22,777.40",198.35K,-0.11%
02/24/23,"23,191.50","23,936.40","24,123.40","22,970.30",367.99K,-3.11%
02/23/23,"23,936.30","24,186.60","24,590.40","23,637.90",417.46K,-1.03%
02/22/23,"24,186.60","24,450.70","24,474.30","23,593.40",400.24K,-1.08%
02/21/23,"24,450.70","24,839.50","25,236.80","24,160.80",395.97K,-1.57%
02/20/23,"24,839.50","24,302.80","25,085.40","23,868.60",363.02K,2.21%
02/19/23,"24,302.90","24,631.30","25,175.20","24,273.70",312.64K,-1.33%
02/18/23,"24,631.40","24,573.50","24,838.90","24,457.00",223.77K,0.24%
02/17/23,"24,573.50","23,538.20","24,984.70","23,373.00",523.85K,4.39%
02/16/23,"23,539.60","24,328.10","25,233.80","23,525.90",484.50K,-3.24%
02/15/23,"24,327.90","22,198.50","24,330.90","22,050.80",401.53K,9.59%
02/14/23,"22,198.50","21,776.90","22,308.60","21,556.20",378.39K,1.96%
02/13/23,"21,772.60","21,782.70","21,887.50","21,418.70",312.04K,-0.07%
02/12/23,"21,786.80","21,859.90","22,080.70","21,653.10",211.65K,-0.33%
02/11/23,"21,859.80","21,627.40","21,902.90","21,605.30",182.07K,1.04%
02/10/23,"21,635.00","21,792.50","21,933.60","21,491.70",352.79K,-0.72%
02/09/23,"21,792.50","22,964.60","23,003.60","21,744.60",425.44K,-5.10%
02/08/23,"22,964.60","23,251.70","23,425.10","22,691.70",289.12K,-1.23%
02/07/23,"23,251.70","22,761.80","23,338.80","22,748.20",318.98K,2.15%
02/06/23,"22,761.80","22,936.00","23,130.60","22,633.70",278.58K,-0.76%
02/05/23,"22,936.00","23,326.90","23,423.40","22,766.50",217.26K,-1.66%
02/04/23,"23,323.80","23,431.20","23,571.80","23,269.80",170.27K,-0.46%
02/03/23,"23,431.20","23,429.10","23,694.10","23,233.80",349.36K,0.02%
02/02/23,"23,427.60","23,726.20","24,207.20","23,398.10",382.86K,-1.26%
02/01/23,"23,725.60","23,124.70","23,784.50","22,809.60",333.18K,2.60%
01/31/23,"23,125.10","22,832.20","23,262.90","22,724.90",289.38K,1.28%
01/30/23,"22,832.20","23,746.00","23,794.00","22,560.00",339.62K,-3.88%
01/29/23,"23,753.10","23,023.50","23,952.90","22,973.30",320.86K,3.15%
01/28/23,"23,027.90","23,074.60","23,182.30","22,889.80",156.96K,-0.20%
01/27/23,"23,074.60","23,016.00","23,480.30","22,602.90",310.36K,0.25%
01/26/23,"23,016.00","23,055.20","23,259.50","22,869.00",320.97K,-0.17%
01/25/23,"23,055.10","22,632.50","23,779.00","22,366.30",388.18K,1.87%
01/24/23,"22,632.50","22,916.30","23,156.10","22,517.10",334.17K,-1.23%
01/23/23,"22,915.50","22,709.00","23,161.80","22,527.90",327.85K,0.91%
01/22/23,"22,707.80","22,775.70","23,068.70","22,323.00",280.64K,-0.30%
01/21/23,"22,775.70","22,677.50","23,304.50","22,461.10",382.69K,0.43%
01/20/23,"22,677.20","21,074.90","22,718.50","20,879.30",373.74K,7.57%
01/19/23,"21,081.20","20,670.60","21,169.40","20,669.70",275.76K,1.99%
01/18/23,"20,670.60","21,137.10","21,584.10","20,448.30",388.67K,-2.21%
01/17/23,"21,137.10","21,184.40","21,506.40","20,926.20",310.04K,-0.22%
01/16/23,"21,184.20","20,880.10","21,416.80","20,698.90",337.46K,1.46%
01/15/23,"20,879.80","20,956.00","21,032.20","20,585.70",205.80K,-0.37%
01/14/23,"20,958.20","19,926.90","21,185.60","19,898.60",458.21K,5.17%
01/13/23,"19,927.00","18,850.80","19,981.60","18,723.80",426.67K,5.71%
01/12/23,"18,851.30","17,941.00","19,055.30","17,915.50",522.01K,5.07%
01/11/23,"17,942.30","17,440.50","17,989.80","17,323.90",291.53K,2.89%
01/10/23,"17,439.10","17,180.10","17,491.00","17,151.70",247.14K,1.51%
01/09/23,"17,180.10","17,119.00","17,390.80","17,107.10",301.24K,0.36%
01/08/23,"17,119.00","16,943.60","17,119.00","16,913.80",144.84K,1.04%
01/07/23,"16,943.60","16,950.90","16,979.60","16,909.70",110.48K,-0.04%
01/06/23,"16,950.90","16,829.80","17,012.30","16,707.60",233.47K,0.72%
01/05/23,"16,829.80","16,852.20","16,877.90","16,772.30",178.96K,-0.13%
01/04/23,"16,852.10","16,674.20","16,976.50","16,656.50",247.39K,1.07%
01/03/23,"16,674.20","16,673.10","16,773.20","16,607.20",178.73K,0.00%
01/02/23,"16,674.30","16,618.40","16,766.90","16,551.00",136.03K,0.34%
